PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-23,18:02:14.72,1,1,"Lobus, Ryan",1000051638,Right,MER_BEA,"Burnham, Zeddric",1000120385,Right,FLO_RAT,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.65619,-1.905628,-5.42696,2060.573508,232.697463,1:45,5.69713,2.14537,5.17643,-23.36989,11.49686,13.74024,1.94769,-1.83176,83.60488,-6.188182,-3.00887,0.424988,,,,,,,,,,,,-8.2102,6.51772,-1.64981,50,5.50122,11.82326,-131.0992,-5.26177,-14.45118,24.76445,-20.70188,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,a48a01a0-94fc-11ec-b83f-b3ed64cab405,88.69054,,,7.05131,,,,,,,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:02:14.72,2022-02-23T18:02:14.7213956-05:00,2022-02-23T23:02:14.7213956Z,,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,153b806d-96b4-4af5-9e26-d403c041916a,55.32627,-132.1015,12.38222,5.69722,-4.4239,-10.35094,-2.14016,12.40814,-7.22559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-02-23,18:02:28.10,1,2,"Lobus, Ryan",1000051638,Right,MER_BEA,"Burnham, Zeddric",1000120385,Right,FLO_RAT,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.72801,-2.93628,-5.156053,2074.134594,235.369925,1:45,5.65402,2.25283,5.12272,-22.83434,12.15587,16.05186,0.97167,-1.27939,83.54286,-7.11996,-2.330307,0.42574,,,,,,,,,,,,-9.32729,7.12122,-1.78001,50,5.35909,11.08886,-131.12264,-7.61444,-16.37917,25.47874,-19.6688,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,ac78a560-94fc-11ec-b83f-b3ed64cab405,88.5339,,,7.18515,,,,,,,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:02:28.10,2022-02-23T18:02:28.1063556-05:00,2022-02-23T23:02:28.1063556Z,,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,8488debc-0e53-4e3b-88c7-c23a54c095ff,55.38002,-132.16391,12.73937,5.65385,-6.81061,-9.8344,-2.24687,11.75825,-8.18959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-23,18:02:40.71,1,3,"Lobus, Ryan",1000051638,Right,MER_BEA,"Burnham, Zeddric",1000120385,Right,FLO_RAT,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.55221,-2.550399,-4.963988,2163.023952,225.141902,1:30,5.69925,2.21121,5.16383,-19.71127,14.62788,13.6278,1.6455,-1.33712,84.05127,-6.194689,-2.563617,0.421761,,,,,,,,,,,,-8.09347,8.27697,-1.75794,50,5.44551,10.85861,-132.35871,-6.63774,-14.45306,26.48959,-17.39326,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,b3f77050-94fc-11ec-b83f-b3ed64cab405,89.36926,,,7.50094,,,,,,,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:02:40.71,2022-02-23T18:02:40.7125124-05:00,2022-02-23T23:02:40.7125124Z,,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,8e9d1f16-18a5-4729-9715-f83ccc49250c,55.33808,-133.42277,13.2448,5.6981,-5.93907,-8.69663,-2.20578,11.43917,-7.22653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-23,18:02:54.55,1,4,"Lobus, Ryan",1000051638,Right,MER_BEA,"Burnham, Zeddric",1000120385,Right,FLO_RAT,Undefined,1,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.01503,-1.133717,-3.173412,2275.207017,232.062487,1:45,5.73965,2.35146,5.09305,-19.81966,14.18355,16.81883,3.01775,0.75914,84.13239,-4.810061,-0.204046,0.419693,,,,,,,,,,,,-9.1952,7.67115,-2.06498,50,5.61715,6.58445,-133.36134,-3.37778,-16.60945,27.8782,-18.31754,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,bc27d800-94fc-11ec-b83f-b3ed64cab405,89.80965,,,7.88264,,,,,,,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:02:54.55,2022-02-23T18:02:54.5584772-05:00,2022-02-23T23:02:54.5584772Z,,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,f5be27b9-18d4-4cab-898c-b11a24ae3a1e,55.40814,-134.48711,13.9391,5.73862,-2.63808,-9.15877,-2.34442,7.25517,-8.30472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-02-23,18:03:07.82,1,5,"Lobus, Ryan",1000051638,Right,MER_BEA,"Burnham, Zeddric",1000120385,Right,FLO_RAT,Undefined,1,Top,0,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.49328,-1.226991,-3.814738,2339.277757,235.347056,1:45,5.63485,2.56664,5.0989,-21.41934,12.10079,16.04914,2.69089,0.30388,84.99858,-5.171254,-0.983724,0.416701,67.06018,-25.974725,0.800375,,,,,6.91108,,-1.830345,0.059778,-9.01937,6.6378,-2.21934,50,5.50218,8.1845,-134.06077,-3.69994,-16.54263,26.85822,-19.99952,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,c4173f10-94fc-11ec-b83f-b3ed64cab405,90.45446,2.58554,,7.4947,,,,1.60098,2.58554,-0.29488,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:03:07.82,2022-02-23T18:03:07.8248068-05:00,2022-02-23T23:03:07.8248068Z,GroundBall,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,435a73e0-8762-44ae-9312-54405ec3ddda,55.40433,-135.13915,13.42911,5.63462,-2.89694,-9.99976,-2.5613,8.8487,-8.27132,180,1.59753,88.77057,,,,,,,,2.58723,-43.25206,,,,,,,,-0.29492,1.24013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2022-02-23,18:03:41.22,2,1,"Lobus, Ryan",1000051638,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.1702,-0.844009,-1.41304,2148.01779,223.295741,1:30,5.66719,2.42975,5.00107,-17.27556,16.77147,14.76753,3.43046,2.3261,84.00627,-4.07468,1.193386,0.419963,,,,,,,,,,,,-7.65961,8.85,-2.30628,50,5.57259,2.56847,-133.66348,-2.58614,-13.85052,28.93659,-16.17098,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,d810c590-94fc-11ec-b83f-b3ed64cab405,89.75184,,,8.16392,,,,,,,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:03:41.22,2022-02-23T18:03:41.2251780-05:00,2022-02-23T23:03:41.2251780Z,,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,3535d577-9d9a-4775-b21d-7494702891f2,55.49843,-134.84857,14.46829,5.66494,-1.92386,-8.08549,-2.42308,3.13572,-6.92526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-02-23,18:03:53.42,2,2,"Lobus, Ryan",1000051638,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.9063,-2.753554,-5.390711,2089.276579,232.773775,1:45,5.64101,2.41604,5.23973,-20.04198,14.00528,17.02182,1.36927,-1.24724,84.297,-6.46176,-2.390259,0.419964,,,,,,,,,,,,-9.87536,8.03445,-1.93191,50,5.37178,11.72369,-132.76693,-7.1431,-17.73838,26.73916,-17.74235,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,df4456b0-94fc-11ec-b83f-b3ed64cab405,89.75149,,,7.6093,,,,,,,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:03:53.42,2022-02-23T18:03:53.4239364-05:00,2022-02-23T23:03:53.4239364Z,,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,c2056671-d295-4a60-8f06-cce6fd76d22d,55.26176,-133.82245,13.36958,5.63993,-6.44273,-8.87117,-2.40852,12.4239,-8.86919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-02-23,18:04:07.95,2,3,"Lobus, Ryan",1000051638,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,2,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,92.41894,-2.063672,-4.55514,2262.325926,238.907996,2:00,5.73834,2.25722,5.19954,-22.79356,10.83882,16.23194,1.89078,-0.68376,84.76675,-6.255329,-1.689756,0.417398,101.33885,18.103031,27.21458,2136.692153,94.12726,29.12727,56.92112,305.38649,,37.736114,3.03887,-9.34264,6.26827,-1.84721,50,5.52937,9.89562,-133.74357,-5.70515,-17.00493,27.5229,-20.76486,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,e7f56010-94fc-11ec-b83f-b3ed64cab405,90.3034,33.91522,,7.65219,,,,1.24839,1.96325,0.71645,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:04:07.95,2022-02-23T18:04:07.9582340-05:00,2022-02-23T23:04:07.9582340Z,LineDrive,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,70306478-28a7-4f0f-bcfa-6af7fb85980b,55.30309,-134.83047,13.76145,5.73848,-4.88513,-10.38243,-2.25125,10.56716,-8.50247,242.721733,1.24862,125.62182,-25.80319,5.63566,-0.90622,0.00429,0.04284,-0.01079,0.00095,1.96313,46.1898,-18.13915,1.30863,-0.34029,0.1567,-0.05317,0.01042,-0.00085,0.71634,64.6154,1.20287,-1.61056,0.36058,0.01167,-0.02637,0.00595,-0.00046,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-02-23,18:04:57.13,3,1,"Lobus, Ryan",1000051638,Right,MER_BEA,"Bryant, LJ",1000078827,Right,FLO_RAT,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.47607,1.883335,-0.883098,2586.956325,68.066297,8:15,5.26982,2.8198,4.66705,-50.07952,-2.72512,-10.28465,2.88637,1.12383,72.21926,-7.115512,-2.687786,0.495281,,,,,,,,,,,,4.79114,-1.39886,-2.71989,50,5.41628,2.19462,-113.83273,1.85406,6.31031,20.1566,-34.01643,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,054d9510-94fd-11ec-b83f-b3ed64cab405,76.10314,,,6.2568,,,,,,,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:04:57.13,2022-02-23T18:04:57.1332228-05:00,2022-02-23T23:04:57.1332228Z,,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,ef477d39-bc52-44dc-9234-387651a9aa21,55.83564,-114.86141,10.0783,5.27736,3.59007,-17.00822,-2.82367,1.87258,3.15515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-02-23,18:05:14.74,3,2,"Lobus, Ryan",1000051638,Right,MER_BEA,"Bryant, LJ",1000078827,Right,FLO_RAT,Undefined,1,Top,1,0,1,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,79.43878,0.454676,-2.168601,2708.702258,83.006911,8:45,5.2454,2.75296,4.70358,-45.90093,0.10059,-9.92768,1.85225,-0.1339,73.56378,-7.77751,-3.91064,0.488155,93.78086,1.535647,-45.358874,3854.174481,,,,60.1707,,-44.913945,0.446972,4.37315,0.23831,-2.52356,50,5.24987,4.77791,-115.28226,-0.79629,5.92544,20.05721,-31.85114,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220223-MercerUniversity-1,0fca5dc0-94fd-11ec-b83f-b3ed64cab405,77.21412,2.33668,,5.875,,,,3.53804,2.16629,0.03207,9797c8ed-a039-4006-9a2b-690085d2303a,2022-02-23,23:05:14.74,2022-02-23T18:05:14.7405444-05:00,2022-02-23T23:05:14.7405444Z,GroundBall,v3,,,,"Rohrbacher, Jozsef",1000119023,Left,MER_BEA,3ecc590e-9798-494e-9a5f-37b6ced1f817,55.80063,-116.28709,10.02861,5.24979,0.7994,-15.92557,-2.75549,4.48105,2.96272,79.011936,3.55319,96.15862,-19.70524,,,,,,,2.17535,3.41434,-18.57054,,,,,,,0.0329,-97.85763,6.1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
